0:0:0:0:2a02:8000:1000::,0::2c0f:fc78:efff:ffff,DE
0:0:0:0:2c0f:fc78:f000::,0::2c0f:fc78:faef:ffff,ZA
0:0:0:0:2c0f:fc78:faf0::,0::10:0:2c0f:fc78:faef:ffff,GB
0:0:10:0:2c0f:fc78:faf0::,0::1000:0:2c0f:fc78:efff:ffff,ZA
2a:9f6:1::,2a:9f6:1:ffff:ffff:ffff:ffff:ffff,IL
2000:678:d64:4663::,2000:678:d64:4663:ffff:ffff:ffff:ffff,NL
2001:2::,2001:2::ffff:ffff:ffff:ffff:ffff,IT
2001:200::,2001:200:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:208::,2001:208:ffff:ffff:ffff:ffff:ffff:ffff,SG
2001:218::,2001:218:6001:ffff:ffff:ffff:ffff:ffff,JP
2001:218:6002::,2001:218:6002:ffff:ffff:ffff:ffff:ffff,HK
2001:218:6003::,2001:218:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:220::,2001:220:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:230::,2001:230:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:240::,2001:240:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:250::,2001:256:ffff:ffff:ffff:ffff:ffff:ffff,CN
2001:258::,2001:258:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:260::,2001:260:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:268::,2001:268:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:270::,2001:270:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:278::,2001:278:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:280::,2001:280:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:288::,2001:288:ffff:ffff:ffff:ffff:ffff:ffff,TW
2001:290::,2001:290:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:298::,2001:298:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a0::,2001:2a0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2a8::,2001:2a8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2b0::,2001:2b0:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2b8::,2001:2b9:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2c0::,2001:2c0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2c8::,2001:2c8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2d8::,2001:2d8:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:2e0::,2001:2e0:ffff:ffff:ffff:ffff:ffff:ffff,HK
2001:2e8::,2001:2e8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f0::,2001:2f0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:2f8::,2001:2f8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:300::,2001:300:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:308::,2001:308:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:310::,2001:310:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:318::,2001:318:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:320::,2001:320:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:330::,2001:330:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:338::,2001:338:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:340::,2001:340:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:348::,2001:348:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:350::,2001:350:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:358::,2001:358:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:360::,2001:360:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:368::,2001:368:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:370::,2001:370:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:378::,2001:378:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:380::,2001:380:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:388::,2001:388:ffff:ffff:ffff:ffff:ffff:ffff,AU
2001:390::,2001:390:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:398::,2001:398:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3a0::,2001:3a0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3a8::,2001:3a8:ffff:ffff:ffff:ffff:ffff:ffff,KR
2001:3b0::,2001:3b0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3b8::,2001:3b8:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3c0::,2001:3c0:1fff:ffff:ffff:ffff:ffff:ffff,JP
2001:3c8::,2001:3c8:ffff:ffff:ffff:ffff:ffff:ffff,TH
2001:3d0::,2001:3d0:ffff:ffff:ffff:ffff:ffff:ffff,JP
2001:3d8::,2001:3d8:ffff:ffff:ffff:ffff:ffff:ffff,JP
