200:1900:5203::,200:1900:5203:ff:ffff:ffff:ffff:ffff,3356,LEVEL3
2001:4:112::,2001:4:112:ffff:ffff:ffff:ffff:ffff,112,AS112-PROJECT
2001:200::,2001:200:5ff:ffff:ffff:ffff:ffff:ffff,2500,WIDE-BB WIDE Project
2001:200:600::,2001:200:6ff:ffff:ffff:ffff:ffff:ffff,7667,"KDDLAB KDDI R&D Laboratories, INC."
2001:200:700::,2001:200:8ff:ffff:ffff:ffff:ffff:ffff,2500,WIDE-BB WIDE Project
2001:200:900::,2001:200:9ff:ffff:ffff:ffff:ffff:ffff,7660,APAN-JP Asia Pacific Advanced Network - Japan
2001:200:a00::,2001:200:dff:ffff:ffff:ffff:ffff:ffff,2500,WIDE-BB WIDE Project
2001:200:e00::,2001:200:eff:ffff:ffff:ffff:ffff:ffff,4690,WIDE-SFO WIDE Project
2001:200:f00::,2001:200:bfff:ffff:ffff:ffff:ffff:ffff,2500,WIDE-BB WIDE Project
2001:200:c000::,2001:200:dfff:ffff:ffff:ffff:ffff:ffff,23634,E-DNS-JP WIDE Project
2001:200:e000::,2001:200:ffff:ffff:ffff:ffff:ffff:ffff,7660,APAN-JP Asia Pacific Advanced Network - Japan
2001:218::,2001:218:2003:ffff:ffff:ffff:ffff:ffff,2914,NTT-DATA-2914
2001:218:2004::,2001:218:2004:ffff:ffff:ffff:ffff:ffff,18186,NEBULA-GLOBAL
2001:218:2005::,2001:218:21ff:ffff:ffff:ffff:ffff:ffff,2914,NTT-DATA-2914
2001:218:2200::,2001:218:22ff:ffff:ffff:ffff:ffff:ffff,18259,HIGE NTT Communications Corporation
2001:218:2300::,2001:218:3003:ffff:ffff:ffff:ffff:ffff,2914,NTT-DATA-2914
2001:218:3004::,2001:218:3004:ffff:ffff:ffff:ffff:ffff,20940,AKAMAI-ASN1
2001:218:3005::,2001:218:ffff:ffff:ffff:ffff:ffff:ffff,2914,NTT-DATA-2914
2001:240::,2001:240:ffff:ffff:ffff:ffff:ffff:ffff,2497,IIJ Internet Initiative Japan Inc.
2001:250::,2001:250:1:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:2::,2001:250:2:ffff:ffff:ffff:ffff:ffff,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
2001:250:3::,2001:250:204:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:205::,2001:250:205:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:206::,2001:250:206:ffff:ffff:ffff:ffff:ffff,24351,CNGI-BJ-IX5-AS-AP CERNET2 IX at Beijing University of Aeronautics and Astronautics
2001:250:207::,2001:250:207:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:208::,2001:250:208:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:209::,2001:250:209:ffff:ffff:ffff:ffff:ffff,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University
2001:250:20a::,2001:250:20a:ffff:ffff:ffff:ffff:ffff,24351,CNGI-BJ-IX5-AS-AP CERNET2 IX at Beijing University of Aeronautics and Astronautics
2001:250:20b::,2001:250:20b:ffff:ffff:ffff:ffff:ffff,24350,CNGI-BJ-IX4-AS-AP CERNET2 IX at Beijing University of Posts and Telecommunications
2001:250:20c::,2001:250:20c:ffff:ffff:ffff:ffff:ffff,24349,CNGI-BJ-IX3-AS-AP CERNET2 IX at Peking University
2001:250:20d::,2001:250:20e:ffff:ffff:ffff:ffff:ffff,23910,CNGI-CERNET2-AS-AP China Next Generation Internet CERNET2
2001:250:20f::,2001:250:20f:ffff:ffff:ffff:ffff:ffff,24351,CNGI-BJ-IX5-AS-AP CERNET2 IX at Beijing University of Aeronautics and Astronautics
